4K超高清,#genre#
北京卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.200:8000
深圳卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.61:8000
广东卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.108:8000
山东卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.172:8000
湖南卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.28:8000
浙江卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.27:8000
江苏卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.133:8000
东方卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.176:8000
四川卫视4K超高清,http://920425.xyz:7788/udp/239.253.240.123:8000
央视频道,#genre#
CCTV1高清,http://920425.xyz:7788/udp/239.253.240.77:8000#http://920425.xyz:7788/udp/239.253.240.1:8000
CCTV2高清,http://920425.xyz:7788/udp/239.253.240.232:8000#http://920425.xyz:7788/udp/239.253.240.3:8000
CCTV3,http://920425.xyz:7788/udp/239.253.240.191:8000#http://920425.xyz:7788/udp/239.253.240.4:8000
CCTV4高清,http://920425.xyz:7788/udp/239.253.240.111:8000#http://920425.xyz:7788/udp/239.253.240.5:8000
CCTV4中文国际欧洲,http://920425.xyz:7788/udp/239.253.240.186:8000
CCTV4中文国际美洲,http://920425.xyz:7788/udp/239.253.240.187:8000
CCTV5高清,http://920425.xyz:7788/udp/239.253.240.192:8000#http://920425.xyz:7788/udp/239.253.240.6:8000
CCTV5+,http://920425.xyz:7788/udp/239.253.240.80:8000
CCTV6,http://920425.xyz:7788/udp/239.253.240.193:8000#http://920425.xyz:7788/udp/239.253.240.7:8000
CCTV7高清,http://920425.xyz:7788/udp/239.253.240.233:8000#http://920425.xyz:7788/udp/239.253.240.8:8000
CCTV8,http://920425.xyz:7788/udp/239.253.240.194:8000#http://920425.xyz:7788/udp/239.253.240.9:8000
CCTV9高清,http://920425.xyz:7788/udp/239.253.240.79:8000#http://920425.xyz:7788/udp/239.253.240.10:8000
CCTV10高清,http://920425.xyz:7788/udp/239.253.240.234:8000#http://920425.xyz:7788/udp/239.253.240.11:8000
CCTV11高清,http://920425.xyz:7788/udp/239.253.240.169:8000#http://920425.xyz:7788/udp/239.253.240.12:8000
CCTV12高清,http://920425.xyz:7788/udp/239.253.240.235:8000#http://920425.xyz:7788/udp/239.253.240.13:8000
CCTV13高清,http://920425.xyz:7788/udp/239.253.240.175:8000#http://920425.xyz:7788/udp/239.253.240.14:8000
CCTV14少儿高清,http://920425.xyz:7788/udp/239.253.240.236:8000#http://920425.xyz:7788/udp/239.253.240.15:8000
CCTV15高清,http://920425.xyz:7788/udp/239.253.240.170:8000#http://920425.xyz:7788/udp/239.253.240.16:8000
CCTV17农业高清,http://920425.xyz:7788/udp/239.253.240.168:8000
CGTN 英语,http://920425.xyz:7788/udp/239.253.240.189:8000
CGTN 英文纪录,http://920425.xyz:7788/udp/239.253.240.188:8000
CGTN 西班牙语,http://920425.xyz:7788/udp/239.253.240.182:8000
CGTN 法语,http://920425.xyz:7788/udp/239.253.240.183:8000
CGTN 阿拉伯语,http://920425.xyz:7788/udp/239.253.240.184:8000
CGTN 俄语,http://920425.xyz:7788/udp/239.253.240.185:8000
CCTV4K超高清,http://920425.xyz:7788/udp/239.253.240.122:8000
省内频道,#genre#
居家购物,http://920425.xyz:7788/udp/239.253.240.104:8000
山东教育卫视高清,http://920425.xyz:7788/udp/239.253.240.59:8000
山东卫视高清,http://920425.xyz:7788/udp/239.253.240.78:8000#http://920425.xyz:7788/udp/239.253.240.2:8000
泰安综合,http://920425.xyz:7788/udp/239.253.240.252:8000
齐鲁高清,http://920425.xyz:7788/udp/239.253.240.114:8000
山东文旅高清,http://920425.xyz:7788/udp/239.253.240.160:8000#http://920425.xyz:7788/udp/239.253.240.19:8000
山东生活高清,http://920425.xyz:7788/udp/239.253.240.151:8000#http://920425.xyz:7788/udp/239.253.240.20:8000
山东综艺高清,http://920425.xyz:7788/udp/239.253.240.159:8000#http://920425.xyz:7788/udp/239.253.240.21:8000
山东体育高清,http://920425.xyz:7788/udp/239.253.240.22:8000#http://920425.xyz:7788/udp/239.253.240.158:8000
山东新闻高清,http://920425.xyz:7788/udp/239.253.240.23:8000
山东农科高清,http://920425.xyz:7788/udp/239.253.240.24:8000
山东少儿高清,http://920425.xyz:7788/udp/239.253.240.25:8000
山东广播电视台经济广播,http://920425.xyz:7788/udp/239.253.240.166:8000
泰安经济生活,http://920425.xyz:7788/udp/239.253.240.253:8000
泰山电视频道,http://920425.xyz:7788/udp/239.253.240.244:8000
岱岳有线,http://920425.xyz:7788/udp/239.253.240.245:8000
新泰乡村,http://920425.xyz:7788/udp/239.253.240.246:8000
新泰综合,http://920425.xyz:7788/udp/239.253.240.250:8000
宁阳综合,http://920425.xyz:7788/udp/239.253.240.247:8000
宁阳TV2,http://920425.xyz:7788/udp/239.253.240.248:8000
东平综合,http://920425.xyz:7788/udp/239.253.240.249:8000
肥城综合,http://920425.xyz:7788/udp/239.253.240.251:8000
卫视频道,#genre#
湖南卫视高清,http://920425.xyz:7788/udp/239.253.240.82:8000
浙江卫视高清,http://920425.xyz:7788/udp/239.253.240.84:8000#http://920425.xyz:7788/udp/239.253.240.29:8000
辽宁卫视高清,http://920425.xyz:7788/udp/239.253.240.92:8000#http://920425.xyz:7788/udp/239.253.240.36:8000
东方卫视高清,http://920425.xyz:7788/udp/239.253.240.86:8000#http://920425.xyz:7788/udp/239.253.240.32:8000
江苏卫视高清,http://920425.xyz:7788/udp/239.253.240.83:8000
北京卫视高清,http://920425.xyz:7788/udp/239.253.240.85:8000#http://920425.xyz:7788/udp/239.253.240.31:8000
安徽卫视高清,http://920425.xyz:7788/udp/239.253.240.87:8000#http://920425.xyz:7788/udp/239.253.240.30:8000
天津卫视高清,http://920425.xyz:7788/udp/239.253.240.89:8000#http://920425.xyz:7788/udp/239.253.240.34:8000
深圳卫视高清,http://920425.xyz:7788/udp/239.253.240.91:8000#http://920425.xyz:7788/udp/239.253.240.33:8000
东南卫视高清,http://920425.xyz:7788/udp/239.253.240.105:8000#http://920425.xyz:7788/udp/239.253.240.41:8000
湖北卫视高清,http://920425.xyz:7788/udp/239.253.240.88:8000#http://920425.xyz:7788/udp/239.253.240.45:8000
广东卫视高清,http://920425.xyz:7788/udp/239.253.240.90:8000#http://920425.xyz:7788/udp/239.253.240.39:8000
黑龙江卫视高清,http://920425.xyz:7788/udp/239.253.240.93:8000#http://920425.xyz:7788/udp/239.253.240.37:8000
贵州卫视高清,http://920425.xyz:7788/udp/239.253.240.113:8000#http://920425.xyz:7788/udp/239.253.240.51:8000
河北卫视高清,http://920425.xyz:7788/udp/239.253.240.112:8000#http://920425.xyz:7788/udp/239.253.240.43:8000
重庆卫视高清,http://920425.xyz:7788/udp/239.253.240.38:8000
海南卫视高清,http://920425.xyz:7788/udp/239.253.240.179:8000#http://920425.xyz:7788/udp/239.253.240.35:8000
四川卫视高清,http://920425.xyz:7788/udp/239.253.240.180:8000#http://920425.xyz:7788/udp/239.253.240.50:8000
山西卫视,http://920425.xyz:7788/udp/239.253.240.48:8000
河南卫视高清,http://920425.xyz:7788/udp/239.253.240.190:8000#http://920425.xyz:7788/udp/239.253.240.44:8000
江西卫视高清,http://920425.xyz:7788/udp/239.253.240.47:8000
广西卫视高清,http://920425.xyz:7788/udp/239.253.240.197:8000
吉林卫视高清,http://920425.xyz:7788/udp/239.253.240.173:8000#http://920425.xyz:7788/udp/239.253.240.46:8000
云南卫视高清,http://920425.xyz:7788/udp/239.253.240.196:8000
陕西卫视,http://920425.xyz:7788/udp/239.253.240.49:8000
内蒙古卫视,http://920425.xyz:7788/udp/239.253.240.58:8000
宁夏卫视,http://920425.xyz:7788/udp/239.253.240.53:8000
新疆卫视,http://920425.xyz:7788/udp/239.253.240.60:8000
甘肃卫视高清,http://920425.xyz:7788/udp/239.253.240.74:8000#http://920425.xyz:7788/udp/239.253.240.52:8000
青海卫视高清,http://920425.xyz:7788/udp/239.253.240.195:8000#http://920425.xyz:7788/udp/239.253.240.54:8000
西藏卫视,http://920425.xyz:7788/udp/239.253.240.56:8000
兵团卫视,http://920425.xyz:7788/udp/239.253.240.57:8000
农林卫视,http://920425.xyz:7788/udp/239.253.240.70:8000
厦门卫视,http://920425.xyz:7788/udp/239.253.240.106:8000
延边卫视,http://920425.xyz:7788/udp/239.253.240.121:8000
三沙卫视,http://920425.xyz:7788/udp/239.253.240.171:8000
宁夏卫视高清,http://920425.xyz:7788/udp/239.253.240.150:8000
少儿频道,#genre#
金鹰卡通高清,http://920425.xyz:7788/udp/239.253.240.117:8000#http://920425.xyz:7788/udp/239.253.240.134:8000
金鹰纪实高清,http://920425.xyz:7788/udp/239.253.240.103:8000
KAKU少儿,http://920425.xyz:7788/udp/239.253.240.66:8000
优漫卡通,http://920425.xyz:7788/udp/239.253.240.64:8000
哈哈炫动,http://920425.xyz:7788/udp/239.253.240.63:8000
新动漫,http://920425.xyz:7788/udp/239.253.240.157:8000#http://920425.xyz:7788/udp/239.253.240.149:8000
